Category: All categories

Week,ariana grande: (Brazil)
2021-11-28,45
2021-12-05,46
2021-12-12,44
2021-12-19,65
2021-12-26,100
2022-01-02,62
2022-01-09,54
2022-01-16,45
2022-01-23,41
2022-01-30,41
2022-02-06,43
2022-02-13,37
2022-02-20,37
2022-02-27,43
2022-03-06,34
2022-03-13,39
2022-03-20,31
2022-03-27,35
2022-04-03,65
2022-04-10,47
2022-04-17,37
2022-04-24,34
2022-05-01,32
2022-05-08,33
2022-05-15,29
2022-05-22,39
2022-05-29,31
2022-06-05,31
2022-06-12,43
2022-06-19,37
2022-06-26,47
2022-07-03,41
2022-07-10,34
2022-07-17,60
2022-07-24,36
2022-07-31,31
2022-08-07,28
2022-08-14,31
2022-08-21,39
2022-08-28,31
2022-09-04,34
2022-09-11,31
2022-09-18,27
2022-09-25,26
2022-10-02,20
2022-10-09,27
2022-10-16,26
2022-10-23,25
2022-10-30,23
2022-11-06,27
2022-11-13,28
2022-11-20,27
