Category: All categories

Week,ed sheeran: (Brazil)
2021-11-28,83
2021-12-05,78
2021-12-12,79
2021-12-19,87
2021-12-26,80
2022-01-02,74
2022-01-09,87
2022-01-16,77
2022-01-23,68
2022-01-30,100
2022-02-06,82
2022-02-13,77
2022-02-20,63
2022-02-27,63
2022-03-06,63
2022-03-13,66
2022-03-20,67
2022-03-27,63
2022-04-03,66
2022-04-10,74
2022-04-17,75
2022-04-24,76
2022-05-01,63
2022-05-08,75
2022-05-15,98
2022-05-22,77
2022-05-29,74
2022-06-05,78
2022-06-12,82
2022-06-19,69
2022-06-26,74
2022-07-03,74
2022-07-10,62
2022-07-17,65
2022-07-24,57
2022-07-31,57
2022-08-07,54
2022-08-14,62
2022-08-21,54
2022-08-28,55
2022-09-04,74
2022-09-11,62
2022-09-18,53
2022-09-25,61
2022-10-02,52
2022-10-09,55
2022-10-16,53
2022-10-23,51
2022-10-30,57
2022-11-06,54
2022-11-13,72
2022-11-20,57
