Category: All categories

Week,justin bieber: (Brazil)
2021-11-28,4
2021-12-05,4
2021-12-12,4
2021-12-19,4
2021-12-26,4
2022-01-02,4
2022-01-09,3
2022-01-16,3
2022-01-23,4
2022-01-30,4
2022-02-06,4
2022-02-13,4
2022-02-20,3
2022-02-27,5
2022-03-06,3
2022-03-13,4
2022-03-20,5
2022-03-27,5
2022-04-03,10
2022-04-10,9
2022-04-17,14
2022-04-24,8
2022-05-01,5
2022-05-08,5
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,9
2022-06-12,8
2022-06-19,7
2022-06-26,5
2022-07-03,5
2022-07-10,4
2022-07-17,4
2022-07-24,4
2022-07-31,4
2022-08-07,5
2022-08-14,5
2022-08-21,5
2022-08-28,15
2022-09-04,100
2022-09-11,11
2022-09-18,6
2022-09-25,5
2022-10-02,3
2022-10-09,4
2022-10-16,4
2022-10-23,3
2022-10-30,3
2022-11-06,3
2022-11-13,3
2022-11-20,3
