Category: All categories

Week,taylor swift: (Brazil)
2021-11-28,30
2021-12-05,31
2021-12-12,39
2021-12-19,31
2021-12-26,35
2022-01-02,34
2022-01-09,31
2022-01-16,29
2022-01-23,31
2022-01-30,29
2022-02-06,33
2022-02-13,29
2022-02-20,28
2022-02-27,28
2022-03-06,26
2022-03-13,29
2022-03-20,28
2022-03-27,31
2022-04-03,31
2022-04-10,29
2022-04-17,30
2022-04-24,27
2022-05-01,29
2022-05-08,26
2022-05-15,40
2022-05-22,29
2022-05-29,25
2022-06-05,26
2022-06-12,29
2022-06-19,32
2022-06-26,31
2022-07-03,35
2022-07-10,31
2022-07-17,33
2022-07-24,31
2022-07-31,41
2022-08-07,30
2022-08-14,29
2022-08-21,27
2022-08-28,55
2022-09-04,38
2022-09-11,32
2022-09-18,33
2022-09-25,30
2022-10-02,30
2022-10-09,38
2022-10-16,100
2022-10-23,94
2022-10-30,54
2022-11-06,50
2022-11-13,54
2022-11-20,50
