Category: All categories

Week,drake: (Brazil)
2021-11-28,47
2021-12-05,56
2021-12-12,55
2021-12-19,58
2021-12-26,60
2022-01-02,64
2022-01-09,100
2022-01-16,63
2022-01-23,56
2022-01-30,69
2022-02-06,57
2022-02-13,58
2022-02-20,50
2022-02-27,59
2022-03-06,49
2022-03-13,51
2022-03-20,56
2022-03-27,48
2022-04-03,53
2022-04-10,58
2022-04-17,59
2022-04-24,50
2022-05-01,51
2022-05-08,66
2022-05-15,45
2022-05-22,52
2022-05-29,46
2022-06-05,44
2022-06-12,61
2022-06-19,59
2022-06-26,58
2022-07-03,57
2022-07-10,54
2022-07-17,49
2022-07-24,49
2022-07-31,47
2022-08-07,50
2022-08-14,46
2022-08-21,44
2022-08-28,49
2022-09-04,54
2022-09-11,54
2022-09-18,49
2022-09-25,42
2022-10-02,34
2022-10-09,57
2022-10-16,51
2022-10-23,49
2022-10-30,62
2022-11-06,58
2022-11-13,57
2022-11-20,54
